neuron1	neuron2	score
720575941441901147	720575940625530114	0.410048
720575941480554370	720575940627538434	0.602704
720575941651815445	720575940638088511	0.647075
720575941432269271	720575940614089726	0.567992
720575941574675869	720575940623938823	0.585256
720575941438445330	720575940645693476	0.620636
720575941668844209	720575940620015787	0.374252
720575941529004164	720575940626986877	0.429614
720575941408820271	720575940623982323	0.472743
720575941505562949	720575940621512445	0.4225
720575941498984161	720575940606753884	0.333231
720575941528463526	720575940621512445	0.422361
720575941435983136	720575940623324395	0.490418
720575941610938797	720575940607909899	0.474707
720575941548476276	720575940637562469	0.429113
720575941459936070	720575940605707198	0.469692
720575941411620207	720575940618666142	0.556272
720575941637683829	720575940625188741	0.50156
720575941631629292	720575940625479370	0.445983
720575941575744655	720575940648654468	0.578775
720575941442616271	720575940632664268	0.459173
720575941659115288	720575940614595643	0.414881
720575941403931248	720575940627663100	0.416971
720575941722168890	720575940620718472	0.421705
720575941535231832	720575940614075363	0.588819
720575941502158059	720575940623901415	0.465989
720575941559874831	720575940629757036	0.625969
720575941551955199	720575940605154988	0.291935
720575941644144978	720575940630151455	0.481386
720575941519656814	720575940629812346	0.625154
720575941464753430	720575940620015787	0.384613
720575941452595322	720575940629704297	0.394981
720575941596729477	720575940645199748	0.426344
720575941480772259	720575940630993194	0.479738
720575941585932422	720575940607118275	0.429892
720575941393748630	720575940618608110	0.385848
720575941626337162	720575940606866377	0.609487
720575941632371948	720575940630993194	0.135751
720575941507894366	720575940628387663	0.564575
720575941566767207	720575940629297664	0.423863
720575941569909106	720575940644473760	0.679564
720575941504636610	720575940622929847	0.409748
720575941536706753	720575940630697078	0.582782
720575941574657032	720575940621114974	0.502824
720575941455074099	720575940627417064	0.396591
720575941600537385	720575940619679471	0.449302
720575941476515636	720575940632674003	0.481139
720575941561376813	720575940625006776	0.622449
720575941586627294	720575940605173792	0.460291
720575941539809997	720575940627645514	0.627622
720575941515375171	720575940618957825	0.461274
720575941441805503	720575940617674053	0.406844
720575941456625567	720575940610231509	0.646419
720575941558381860	720575940631499832	0.600369
720575941514201932	720575940627403719	0.403744
720575941554615553	720575940627125842	0.474727
720575941580098037	720575940630137425	0.399406
720575941393864342	720575940639301747	0.411342
720575941551640711	720575940625176957	0.41058
